,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
131,Journal of Animal Ecology,29544,00218790,13652656,Journal,2.0,13652656,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 67 issue: 1.', 'JSTOR Arts and Sciences I': 'Available from 1932 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1932 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1998 volume: 67 issue: 1.'}","['1998 - present', '1932 - 6 year ago', '1932 - 6 year ago', '1998 - present']"
132,Stem Cells,14272,10665099,,Journal,2.0,10665099,Full-text available to present,{'CRKN Wiley Online Library': 'Available from 1996 volume: 14 issue: 1.'},['1996 - present']
133,The Anatomical Record,34913,0003276X,10970185,Journal,2.0,10970185,Full-text available to present,"{'Scholars Portal': 'Available from 1995 volume: 241 issue: 1 until 2006 volume: 289 issue: 6.', 'CRKN Wiley Online Library': 'Available from 1996 volume: 244 issue: 1.'}","['1995 - 2006', '1996 - present']"
134,Molecular Breeding,19357,13803743,,Journal,2.0,13803743,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 3 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 2003.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1995 volume: 1 until 1996 volume: 2.', 'Scholars Portal': 'Available from 1995 volume: 1 issue: 1.'}","['1997 - present', '2003 - 1 year ago', '1995 - 1996', '1995 - present']"
135,MGG Molecular &amp; General Genetics,32876,00268925,16174623,Journal,2.0,16174623,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 253 issue: 4.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1908 volume: 1 until 1996 volume: 252.', 'Scholars Portal': 'Available from 2001 volume: 265 issue: 1.', 'SciTech Premium Collection': 'Available from 2001.Most recent 1 year(s) not available.'}","['1997 - present', '1908 - 1996', '2001 - present', '2001 - 1 year ago']"
136,Elementa,21100777486,,23251026,Journal,2.0,23251026,Full-text available to present,"{'Free E- Journals': 'Available from 2013.', 'DOAJ Directory of Open Access Journals': 'Available from 2013.'}","['2013 - present', '2013 - present']"
137,Plant Science,16620,01689452,,Journal,2.0,01689452,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 104 issue: 2.', 'Scholars Portal': 'Available from 1995 volume: 104 issue: 2.'}","['1995 - present', '1995 - present']"
138,African Journal of Marine Science,19700184700,1814232X,18142338,Journal,2.0,18142338,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2008.Most recent 1 year(s) 6 month(s) not available.', 'Taylor & Francis Journals Complete': 'Available from 2003 volume: 25 issue: 1.', 'Scholars Portal': 'Available from 2003 volume: 25 issue: 1.'}","['2008 - 1 year ago', '2003 - present', '2003 - present']"
139,Physiologia Plantarum,16530,00319317,13993054,Journal,2.0,13993054,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1948 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1948 volume: 1 issue: 1.'}","['1948 - present', '1948 - present']"
141,American Journal of Primatology,24131,02752565,10982345,Journal,2.0,10982345,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 38 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 35 issue: 1.'}","['1996 - present', '1995 - present']"
142,Theoretical and Applied Genetics,19046,00405752,14322242,Journal,2.0,14322242,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 94 issue: 1.', 'Gale Cengage Academic OneFile': 'Available from 2010.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1929 volume: 1 until 1996 volume: 93.', 'Scholars Portal': 'Available from 1968 volume: 38 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '2010 - 1 year ago', '1929 - 1996', '1968 - present', '1997 - 1 year ago']"
143,ICES Journal of Marine Science,27298,10543139,10959289,Journal,2.0,10959289,Full-text available to present,"{'Free E- Journals': 'Available from 1996.Most recent 1 year(s) not available.', 'Oxford University Press Journals Digital Archive': 'Available from 1903 volume: 1 issue: 1 until 1995 volume: 52 issue: 6.', 'Scholars Portal': 'Available from 1993 volume: 50 issue: 1 until 2014 volume: 71 issue: 4.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 53 issue: 1.'}","['1996 - 1 year ago', '1903 - 1995', '1993 - 2014', '1996 - present']"
144,Journal of Neurocytology,18573,03004864,,Journal,2.0,03004864,"Full-text available, but not complete","{'Scholars Portal': 'Available from 1972 volume: 1 issue: 1 until 2005 volume: 34 issue: 6.', 'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 26 issue: 1 until 2005.'}","['1972 - 2005', '1997 - 2005']"
145,Nucleic Acids Research,14204,03051048,,Journal,2.0,03051048,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2005.', 'Free E- Journals': 'Available from 1974 volume: 1.', 'Oxford University Press Journals Digital Archive': 'Available from 1974 volume: 1 issue: 1 until 1995 volume: 23 issue: 20.', 'PubMed Central': 'Available from 1974 volume: 1.', 'Scholars Portal': 'Available from 1997 volume: 25 issue: 5.'}","['2005 - present', '1974 - present', '1974 - 1995', '1974 - present', '1997 - present']"
146,Ecotoxicology,25075,09639292,,Journal,2.0,09639292,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 6 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1992 volume: 1 until 1996 volume: 5.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1992 volume: 1 until 1996 volume: 5.', 'Scholars Portal': 'Available from 1992 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1992 - 1996', '1992 - 1996', '1992 - present', '1997 - 1 year ago']"
147,Naturwissenschaften,21662,00281042,,Journal,2.0,00281042,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2016 volume: 13 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1913 volume: 1 until 1996 volume: 83.', 'SpringerLink Historical Archives Chemistry and Materials Science': 'Available from 1913 volume: 1 until 1996 volume: 83.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1913 volume: 1 until 1996 volume: 83.', 'Scholars Portal': 'Available from 1913 volume: 1 issue: 1.'}","['2016 - present', '1913 - 1996', '1913 - 1996', '1913 - 1996', '1913 - present']"
148,Nature Genetics,18990,10614036,,Journal,2.0,10614036,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1998 until 2015.', 'Gale Cengage Academic OneFile': 'Available from 2000.Most recent 1 year(s) not available.', 'Nature': 'Available from 1992 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['1998 - 2015', '2000 - 1 year ago', '1992 - present', '2000 - 1 year ago']"
149,Plant Physiology,16615,00320889,,Journal,2.0,00320889,Full-text available with embargo,"{'Highwire Press Free': 'Available from 1926.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1926 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'PubMed Central': 'Available from 1926 volume: 1.Most recent 1 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1926 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'SciTech Premium Collection': 'Available from 1998 until 2012.'}","['1926 - 1 year ago', '1926 - 3 year ago', '1926 - 1 year ago', '1926 - 3 year ago', '1998 - 2012']"
150,Environmental Management,21478,0364152X,14321009,Journal,2.0,14321009,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 21 issue: 1.', 'EBSCOhost CINAHL Complete': 'Available from 2000.Most recent 1 year(s) not available.', 'ABI/INFORM Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 1997.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Business and Economics': 'Available from 1977 volume: 1 issue: 1 until 1996 volume: 20 issue: 6.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1977 volume: 1 issue: 1 until 1996 volume: 20 issue: 6.', 'Scholars Portal': 'Available from 1977 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'Nursing & Allied Health Database': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '2000 - 1 year ago', '1997 - 1 year ago', '1997 - 1 year ago', '1977 - 1996', '1977 - 1996', '1977 - present', '1997 - 1 year ago', '1997 - 1 year ago']"
151,Cancer Research,29183,00085472,,Journal,2.0,00085472,Full-text available with embargo,{'Highwire Press Free': 'Available from 1941 volume: 1 issue: 1.Most recent 1 year(s) not available.'},['1941 - 1 year ago']
152,Evolutionary Ecology Research,21608,15220613,,Journal,2.0,15220613,Full-text available to present,{'Miscellaneous Ejournals': 'Available from 1999 volume: 1 issue: 1.'},['1999 - present']
153,Genesis,22142,1526954X,1526968X,Journal,2.0,1526968X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2000 volume: 26 issue: 1.', 'Scholars Portal': 'Available from 2000 volume: 26 issue: 1.'}","['2000 - present', '2000 - present']"
154,BMC Genomics,21727,,14712164,Journal,2.0,14712164,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2000.', 'EBSCOhost Academic Search Complete': 'Available from 2000.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'PubMed Central': 'Available from 2000 volume: 1.', 'SciTech Premium Collection': 'Available from 2009.', 'SpringerOpen Free': 'Available from 2000.', 'BioMed Central Open Access Free': 'Available from 2000.'}","['2000 - present', '2000 - present', '2006 - present', '2000 - present', '2009 - present', '2000 - present', '2000 - present']"
155,Plant Molecular Biology,13042,01674412,,Journal,2.0,01674412,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 33 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1981 volume: 1 until 1996 volume: 32.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1981 - 1996', '1981 - present', '1997 - 1 year ago']"
156,Fundamental and Applied Limnology,5400152636,18639135,,Journal,2.0,18639135,No full-text available,{},[]
157,Blood,25454,00064971,,Journal,2.0,00064971,Full-text available with embargo,"{'Free E- Journals': 'Available from 1946 volume: 1 issue: 1.Most recent 1 year(s) not available.', 'Highwire Press Free': 'Available from 1946 volume: 1 issue: 1.Most recent 1 year(s) not available.'}","['1946 - 1 year ago', '1946 - 1 year ago']"
159,Developmental Genetics,38446,0192253X,,Journal,2.0,0192253X,"Full-text available, but not complete","{'CRKN Wiley Online Library': 'Available from 1996 volume: 18 issue: 1 until 1999 volume: 25 issue: 4.', 'Scholars Portal': 'Available from 1995 volume: 16 issue: 1 until 1999 volume: 25 issue: 4.'}","['1996 - 1999', '1995 - 1999']"
160,"Brain, Behavior and Evolution",14323,00068977,,Journal,2.0,00068977,"Full-text available, but not complete",{'SciTech Premium Collection': 'Available from 1998 until 2015.'},['1998 - 2015']
161,Developmental Brain Research,15034,01653806,,Journal,2.0,01653806,"Full-text available, but not complete","{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 84 issue: 1 until 2005 volume: 160 issue: 2.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1 until 2005 volume: 160 issue: 2.'}","['1995 - 2005', '1981 - 2005']"
162,Journal of Forensic Sciences,27769,00221198,,Journal,2.0,00221198,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2006 volume: 51 issue: 1.', 'Scholars Portal': 'Available from 2006 volume: 51 issue: 1.'}","['2006 - present', '2006 - present']"
163,Biology of Reproduction,13703,00063363,15297268,Journal,2.0,15297268,Full-text available to present,"{'Scholars Portal': 'Available from 2000 volume: 62 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 54 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2016.'}","['2000 - present', '1996 - present', '2000 - 2016']"
164,Canadian Journal of Plant Pathology,17405,07060661,17152992,Journal,2.0,17152992,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 19 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 18 issue: 1.'}","['1997 - present', '1996 - present']"
165,Copeia,21399,00458511,,Journal,2.0,00458511,Full-text available to present,"{'JSTOR Life Sciences Collection': 'Available from 1913 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1913 issue: 1.', 'SciTech Premium Collection': 'Available from 2005.', 'BioOne Complete': 'Available from 2000.'}","['1913 - 4 year ago', '1913 - present', '2005 - present', '2000 - present']"
166,Emu,21574,01584197,,Journal,2.0,01584197,No full-text available,{},[]
167,Journal of the North American Benthological Society,12904,08873593,,Journal,2.0,08873593,"Full-text available, but not complete","{'EBSCOhost Academic Search Complete': 'Available from 2011 until 2011.', 'JSTOR Life Sciences Collection': 'Available from 1986 volume: 5 issue: 1 until 2011 volume: 30 issue: 4.', 'Scholars Portal': 'Available from 1986 volume: 5 issue: 1 until 2014 volume: 33 issue: 4.', 'BioOne Complete': 'Available from 2004 until 2011.'}","['2011 - 2011', '1986 - 2011', '1986 - 2014', '2004 - 2011']"
168,Journal of the Marine Biological Association of the United Kingdom,12162,00253154,14697769,Journal,2.0,14697769,Full-text available to present,"{'CRKN Cambridge University Press Journals': 'Available from 1999 volume: 79 issue: 1.', 'Scholars Portal': 'Available from 1999 volume: 79 issue: 1.', 'SciTech Premium Collection': 'Available from 2001.Most recent 1 year(s) not available.'}","['1999 - present', '1999 - present', '2001 - 1 year ago']"
169,Environmental Reviews,21527,11818700,,Journal,2.0,11818700,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2006.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 2006.Most recent 1 year(s) not available.', 'Canadian Science Publishing (NRC Research Press) Current': 'Available from 1993 volume: 1 issue: 1.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 2001 until 2006.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 2001 until 2006.', 'SciTech Premium Collection': 'Available from 2001 until 2006.', 'Canadian Science Publishing (NRC Research Press) Back Issues': 'Available from 1993 volume: 1 issue: 1 until 1995 volume: 3.'}","['2001 - 1 year ago', '2006 - 1 year ago', '2006 - 1 year ago', '1993 - present', '2001 - 2006', '2001 - 2006', '2001 - 2006', '1993 - 1995']"
170,Water Research,18795,00431354,18792448,Journal,2.0,18792448,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 29 issue: 1.', 'Scholars Portal': 'Available from 1967 volume: 1 issue: 1.'}","['1995 - present', '1967 - present']"
171,Scientific Reports,21100200805,,20452322,Journal,2.0,20452322,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011.', 'SciTech Premium Collection': 'Available from 2011.'}","['2011 - present', '2011 - present']"
172,British Phycological Journal,67985,00071617,,Journal,2.0,00071617,No full-text available,{},[]
174,Canadian Field-Naturalist,20071,00083550,,Journal,2.0,00083550,Full-text available with embargo,{'Free E- Journals': 'Available from 2003.Most recent 2 year(s) not available.'},['2003 - 2 year ago']
175,Zootaxa,4700151916,11755326,11755334,Journal,2.0,11755334,No full-text available,{},[]
176,Ecology,20308,00129658,,Journal,2.0,00129658,Full-text available to present,"{'Gale Cengage Academic OneFile': 'Available from 1994 until 2000.', 'JSTOR Arts and Sciences I': 'Available from 1920 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1920 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'EBSCOhost Electronic Journals Service': 'Available from 2006 volume: 87 issue: 1 until 2009 volume: 90 issue: 12.Available from 2011 volume: 92 issue: 1 until 2015 volume: 96 issue: 12.', 'CRKN Wiley Online Library': 'Available from 1997 volume: 78 issue: 1.', 'SciTech Premium Collection': 'Available from 1991 until 2000.'}","['1994 - 2000', '1920 - 3 year ago', '1920 - 3 year ago', '2006 - 2009', '1997 - present', '1991 - 2000']"
177,Ibis,22021,00191019,1474919X,Journal,2.0,1474919X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1859 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1859 volume: 1 issue: 1.'}","['1859 - present', '1859 - present']"
178,Applied Geochemistry,24615,08832927,18729134,Journal,2.0,18729134,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 10 issue: 1.', 'Scholars Portal': 'Available from 1986 volume: 1 issue: 1.'}","['1995 - present', '1986 - present']"
179,Neuroscience,18042,03064522,18737544,Journal,2.0,18737544,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 64 issue: 1.', 'Scholars Portal': 'Available from 1976 volume: 1 issue: 1.'}","['1995 - present', '1976 - present']"
180,Frontiers in Neural Circuits,19700175165,16625110,,Journal,2.0,16625110,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2007.', 'Free E- Journals': 'Available from 2008 volume: 1.', 'PubMed Central': 'Available from 2007 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2015.'}","['2007 - present', '2008 - present', '2007 - present', '2015 - present']"
181,Journal of Environmental Management,23371,03014797,10958630,Journal,2.0,10958630,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 37 issue: 1.', 'Scholars Portal': 'Available from 1990 volume: 30 issue: 1.'}","['1993 - present', '1990 - present']"
182,Frontiers in Plant Science,21100313905,,1664462X,Journal,2.0,1664462X,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2010.', 'PubMed Central': 'Available from 2010 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2015.'}","['2010 - present', '2010 - present', '2015 - present']"
183,Frontiers in Marine Science,21100790929,,22967745,Journal,2.0,22967745,Full-text available to present,"{'Free E- Journals': 'Available from 2014.', 'DOAJ Directory of Open Access Journals': 'Available from 2014.', 'Gale Cengage Academic OneFile': 'Available from 2015.'}","['2014 - present', '2014 - present', '2015 - present']"
185,Insect Science,11300153701,16729609,17447917,Journal,2.0,17447917,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1994 volume: 1 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 2005.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1994 volume: 1 issue: 1.'}","['1994 - present', '2005 - 1 year ago', '1994 - present']"
186,Nature Geoscience,17600155041,17520894,17520908,Journal,2.0,17520908,Full-text available to present,"{'Nature': 'Available from 2009 volume: 2 issue: 1.', 'SciTech Premium Collection': 'Available from 2008.Most recent 1 year(s) not available.'}","['2009 - present', '2008 - 1 year ago']"
187,Journal of Biogeography,29269,03050270,13652699,Journal,2.0,13652699,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 23 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1974 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 24 issue: 1.'}","['1996 - present', '1974 - 6 year ago', '1997 - present']"
188,Ecography,20276,09067590,16000587,Journal,2.0,16000587,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1995 volume: 18 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1992 volume: 15 issue: 1.Most recent 8 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1992 volume: 15 issue: 1.Most recent 8 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 20 issue: 1.'}","['1995 - present', '1992 - 8 year ago', '1992 - 8 year ago', '1997 - present']"
189,BMC Plant Biology,16794,,14712229,Journal,2.0,14712229,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2001.', 'EBSCOhost Academic Search Complete': 'Available from 2001.', 'Gale Cengage Academic OneFile': 'Available from 2007.', 'PubMed Central': 'Available from 2001 volume: 1.', 'SciTech Premium Collection': 'Available from 2009.', 'SpringerOpen Free': 'Available from 2001.', 'BioMed Central Open Access Free': 'Available from 2001.'}","['2001 - present', '2001 - present', '2007 - present', '2001 - present', '2009 - present', '2001 - present', '2001 - present']"
190,Frontiers in Ecology and the Environment,144675,15409295,15409309,Journal,2.0,15409309,Full-text available to present,"{'JSTOR Life Sciences Collection': 'Available from 2003 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 2003 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'CRKN Wiley Online Library': 'Available from 2003 volume: 1 issue: 1.'}","['2003 - 3 year ago', '2003 - 3 year ago', '2003 - present']"
191,Management of Biological Invasions,21100790931,,19898649,Journal,2.0,19898649,Full-text available to present,{'DOAJ Directory of Open Access Journals': 'Available from 2010.'},['2010 - present']
192,Biological Control,13256,10499644,,Journal,2.0,10499644,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 3 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 3 issue: 1.'}","['1993 - present', '1993 - present']"
193,"G3: Genes, Genomes, Genetics",21100232417,,21601836,Journal,2.0,21601836,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011.', 'Highwire Press Free': 'Available from 2011.', 'PubMed Central': 'Available from 2011 volume: 1.'}","['2011 - present', '2011 - present', '2011 - present']"
194,PLoS biology,12977,,15457885,Journal,2.0,15457885,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2003.', 'EBSCOhost Academic Search Complete': 'Available from 2003.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'PubMed Central': 'Available from 2003 volume: 1.', 'SciTech Premium Collection': 'Available from 2003.'}","['2003 - present', '2003 - present', '2006 - present', '2003 - present', '2003 - present']"
195,Aquatic Toxicology,24602,0166445X,18791514,Journal,2.0,18791514,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 31 issue: 1.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1.'}","['1995 - present', '1981 - present']"
196,Conservation Physiology,21100776051,,20511434,Journal,2.0,20511434,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2013.', 'Free E- Journals': 'Available from 2013.', 'Highwire Press Free': 'Available from 2013.', 'Gale Cengage Academic OneFile': 'Available from 2013 until 2017.', 'PubMed Central': 'Available from 2013 volume: 1.'}","['2013 - present', '2013 - present', '2013 - present', '2013 - 2017', '2013 - present']"
197,Ecological Indicators,20292,1470160X,,Journal,2.0,1470160X,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2001 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2001 volume: 1 issue: 1.'}","['2001 - present', '2001 - present']"
198,Seminars in Cancer Biology,24046,1044579X,10963650,Journal,2.0,10963650,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 6 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 6 issue: 1.'}","['1995 - present', '1995 - present']"
199,Microbial Ecology,20266,00953628,,Journal,2.0,00953628,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 33 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1974 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1974 volume: 1 until 1996 volume: 32.', 'Scholars Portal': 'Available from 1974 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['1997 - present', '1974 - 4 year ago', '1974 - 1996', '1974 - present', '2000 - 1 year ago']"
200,Frontiers in Microbiology,21100226442,,1664302X,Journal,2.0,1664302X,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2010.', 'PubMed Central': 'Available from 2010 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2012 until 2012.Available from 2015.'}","['2010 - present', '2010 - present', '2012 - 2012']"
201,Biodiversity and Conservation,17242,09603115,15729710,Journal,2.0,15729710,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 6 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1992 volume: 1 until 1996 volume: 5.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1992 volume: 1 until 1996 volume: 5.', 'Scholars Portal': 'Available from 1992 volume: 1 issue: 1 until 2016 volume: 25 issue: 14.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1992 - 1996', '1992 - 1996', '1992 - 2016', '1997 - 1 year ago']"
202,Water (Switzerland),21100255400,,20734441,Journal,2.0,20734441,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2009.', 'SciTech Premium Collection': 'Available from 2009.'}","['2009 - present', '2009 - present']"
203,NeoBiota,21100464918,16190033,13142488,Journal,2.0,13142488,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011.', 'EBSCOhost Academic Search Complete': 'Available from 2011.', 'Gale Cengage Academic OneFile': 'Available from 2011.', 'SciTech Premium Collection': 'Available from 2011.'}","['2011 - present', '2011 - present', '2011 - present', '2011 - present']"
204,Global Change Biology,15131,13541013,13652486,Journal,2.0,13652486,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1995 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 1 issue: 1.'}","['1995 - present', '1995 - present']"
206,Molecular Biology of the Cell,18605,10591524,,Journal,1.0,10591524,Full-text available with embargo,{'PubMed Central': 'Available from 1992 volume: 3.Most recent 2 month(s) not available.'},['1992 - 2 month ago']
207,Oceanological Studies,66993,1505232X,,Journal,1.0,1505232X,No full-text available,{},[]
209,Developmental and Comparative Immunology,20775,0145305X,18790089,Journal,1.0,18790089,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 19 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 19 issue: 1.'}","['1995 - present', '1995 - present']"
210,Bioinformatics,17945,13674803,,Journal,1.0,13674803,Full-text available to present,"{'Free E- Journals': 'Available from 1996.Most recent 1 year(s) not available.', 'Oxford University Press Journals Digital Archive': 'Available from 1985 volume: 1 issue: 1 until 1995 volume: 12 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 12 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 12 issue: 1.'}","['1996 - 1 year ago', '1985 - 1995', '1996 - present', '1996 - present']"
211,Stem Cell Reports,21100248838,22136711,,Journal,1.0,22136711,Full-text available to present,"{'PubMed Central': 'Available from 2013 volume: 1.', 'DOAJ Directory of Open Access Journals': 'Available from 2013.', 'Scholars Portal': 'Available from 2013 volume: 1 issue: 3.', 'Elsevier SD Cell Press': 'Available from 2013 volume: 1 issue: 1.'}","['2013 - present', '2013 - present', '2013 - present', '2013 - present']"
